Continent;year;gdp;gdpPerCapita;lifeExpectancy;population
Africa;1980.00;25.40;1865.31;50.80;209555498
Africa;1981.00;24.60;1879.00;51.46;215935741
Africa;1982.00;24.55;1908.08;51.92;222377497
Africa;1983.00;23.85;1905.08;52.32;228719166
Africa;1984.00;24.54;1894.15;52.65;235147459
Africa;1985.00;25.89;1947.85;52.96;241966627
Africa;1986.00;26.68;1975.92;53.19;248944036
Africa;1987.00;27.46;1943.85;53.22;256111867
Africa;1988.00;28.82;1967.08;53.51;263484222
Africa;1989.00;29.66;2031.38;53.46;271056439
Africa;1990.00;31.30;2010.08;53.15;278812403
Africa;1991.00;31.40;2024.98;52.92;286619245
Africa;1992.00;31.98;2000.72;52.48;294425273
Africa;1993.00;31.66;1981.96;52.09;302335967
Africa;1994.00;31.92;1982.98;49.58;309533283
Africa;1995.00;32.77;2076.49;51.30;316973939
Africa;1996.00;34.30;2151.92;51.04;325657133
Africa;1997.00;35.60;2234.76;50.99;334216678
Africa;1998.00;36.95;2291.69;50.86;342607912
Africa;1999.00;37.98;2383.49;51.04;351291091
Africa;2000.00;39.44;2421.29;51.39;360215887
Africa;2001.00;41.01;2487.98;51.55;369454937
Africa;2002.00;43.63;2564.30;52.15;379071316
Africa;2003.00;45.40;2624.29;52.60;388997220
Africa;2004.00;48.26;2722.78;53.24;399232174
Africa;2005.00;50.73;2824.55;53.83;409716988
Africa;2006.00;53.68;2960.85;54.48;420487861
Africa;2007.00;56.96;3137.29;55.08;431592358
Africa;2008.00;60.19;3260.40;55.71;443015044
Africa;2009.00;63.58;3281.28;56.38;454789410
Africa;2010.00;68.02;3497.38;57.10;466967058
Africa;2011.00;70.57;3595.15;57.78;479667119
Africa;2012.00;73.38;3639.06;58.32;492639202
Africa;2013.00;77.02;3751.72;58.87;505951363
Africa;2014.00;81.10;3875.77;59.30;519636493
Africa;2015.00;84.16;3860.23;59.89;533369125
Africa;2016.00;85.53;3933.13;60.44;547386103
Africa;2017.00;87.92;3987.52;60.85;561692953
Africa;2018.00;91.37;4078.03;61.11;575983380
Africa;2019.00;94.82;4155.58;61.39;590305128
Africa;2020.00;95.08;3962.35;61.05;604944671
Africa;2021.00;99.16;4178.35;60.10;619702542
